shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco
GNB,1,0.1333333,0,4.545455,NA,5.103883,0,-3.244194,NA
GRC,0,0.4333333,0,7.818182,9.39765,NA,0,-0.7571525,NA
GTM,0,0.17,0,5.136364,8.294049,4.26268,0,-1.560648,1
GUY,0,0.0555556,0,5.886364,7.904704,3.471345,0,-2.253795,1
HKG,0,0.2461111,0,8.136364,10.04975,2.701361,1,-0.4975804,1
HND,0,0.1666667,0,5.318182,7.68708,4.35799,0,-2.040221,1
HRV,0,0.5011111,0,NA,8.418477,NA,0,NA,NA
HTI,0,0.2111111,0,3.727273,7.146772,4.867535,0,-2.864704,1
HUN,0,0.5222222,0,9,8.809863,NA,0,-1.180907,NA
IDN,0,0.0556,0,7.590909,8.070906,5.135798,1,-2.207275,1
IND,0,0.2222,0,8.272727,7.326,3.884241,1,-2.453408,1
IRL,0,0.5888889,0,9.727273,9.769384,NA,0,-0.549913,NA
IRN,0,0.3555556,0,4.772727,8.605204,NA,1,-1.22078,NA
IRQ,0,0.3666667,0,1.636364,NA,NA,1,NA,NA
ISL,0,0.7222222,0,9.727273,9.943669,NA,0,-0.3147107,NA
ISR,0,0.3477778,0,8.545455,9.784141,NA,1,-0.4170318,NA
ITA,0,0.4722222,0,9.454545,9.897972,NA,0,-0.1815219,NA
JAM,0,0.2016667,0,7.090909,8.188689,4.867535,0,-2.040221,1
JOR,0,0.3444445,0,6.772727,8.171882,NA,1,-0.87707,NA
JPN,0,0.4,0,9.727273,10.03408,NA,1,-0.5327305,NA
KAZ,0,0.5333334,0,NA,8.131531,NA,1,NA,NA
KEN,1,0.0111111,0,6.045455,7.056175,4.976734,0,-2.882404,1
KGZ,0,0.4555556,0,NA,7.575585,NA,1,NA,NA
KOR,0,0.4111111,0,8.636364,9.415728,4.770685,1,-0.967584,NA
KWT,0,0.3255555,0,7.045455,9.803667,NA,1,NA,NA
LAO,0,0.2,0,NA,7.090077,4.941642,1,NA,NA
LBR,1,0.07,0,3.636364,NA,6.180017,0,NA,NA
LBY,1,0.2777778,0,5.272727,NA,NA,0,NA,NA
LKA,0,0.0777778,0,6.045455,7.731931,4.245634,1,-1.86433,1
LSO,1,0.3255555,0,NA,7.306531,NA,0,-2.764621,NA
LTU,0,0.6222222,0,NA,8.237479,NA,0,NA,NA
LUX,0,0.5494444,0,10,10.28875,NA,0,-0.0140989,NA
LVA,0,0.6333333,0,NA,8.154788,NA,0,NA,NA
MAR,1,0.3555556,0,7.090909,8.042378,4.35927,0,-1.676647,1
MDA,0,0.5222222,0,NA,7.377759,NA,0,NA,NA
MDG,1,0.2222222,0,4.454545,6.835185,6.284209,0,-3.194183,1
MEX,0,0.2555556,0,7.5,8.943768,4.26268,0,-0.8370175,1
MKD,0,0.4611111,0,NA,8.061487,NA,0,NA,NA
MLI,1,0.1888889,0,4,6.565265,7.986165,0,-3.352407,1
MLT,0,0.3944444,0,7.227273,9.427063,2.791165,0,-0.7700282,1
MMR,0,0.2444444,0,5.772727,NA,3.543854,1,-3.540459,NA
MNG,0,0.5111111,0,7.363636,7.299798,NA,1,NA,NA
MOZ,1,0.2016667,0,6.5,6.461468,NA,0,-3.244194,NA
MRT,1,0.2222222,0,NA,7.414573,5.634789,0,-2.995732,NA
MUS,1,0.2241111,0,NA,9.053686,3.417727,0,-1.339411,NA
MWI,1,0.1477778,0,6.818182,6.461468,NA,0,-3.506558,NA
MYS,0,0.0255556,0,7.954545,8.894258,2.873565,1,-1.320507,1
NAM,1,0.2444444,0,NA,8.515191,NA,0,-1.639897,NA
NER,1,0.1777778,0,5,6.733402,5.991465,0,-3.540459,1
NGA,1,0.1111111,0,5.545455,6.813445,7.602901,0,-3.036554,1
NIC,0,0.1444445,0,5.227273,7.544332,5.095589,0,-2.071473,1
NLD,0,0.5811111,0,10,9.896966,NA,0,-0.2156715,NA
NOR,0,0.6888889,0,9.954545,10.02393,NA,0,-0.2757535,NA
NPL,0,0.3111111,0,NA,6.937314,NA,1,NA,NA
NZL,0,0.4555556,1,9.727273,9.756147,2.145931,0,-0.3326794,1
OMN,0,0.2333333,0,7.136364,9.208339,NA,1,-0.8580219,NA
PAK,0,0.3333333,0,6.045455,7.352441,3.610648,1,-2.055725,1
PAN,0,0.1,0,5.909091,8.836374,5.095589,0,-1.500584,1
PER,0,0.1111111,0,5.772727,8.396154,4.26268,0,-1.439695,1
PHL,0,0.1444445,0,5.454545,8.098643,NA,1,-2.071473,NA
PNG,0,0.0666667,0,7.272727,NA,5.135798,1,-2.551046,NA
POL,0,0.5777778,0,7.681818,8.655214,NA,0,-1.435485,NA
PRK,0,0.4444444,0,NA,NA,NA,0,NA,NA
PRT,0,0.4366667,0,9.181818,9.489486,NA,0,-1.005122,NA
PRY,0,0.2555556,0,6.954545,8.207947,4.35799,0,-1.771957,1
QAT,0,0.2811111,0,7.727273,9.685331,NA,1,NA,NA
ROM,0,0.5111111,0,7.272727,8.387085,NA,0,-2.180367,NA
RUS,0,0.6666667,0,8.454545,8.405144,NA,0,-0.8746691,NA
RWA,1,0.0222222,0,NA,6.476973,5.634789,0,-3.146555,NA
SAU,0,0.2777778,0,7.590909,9.2399,NA,1,-0.638659,NA
SDN,1,0.1666667,0,4,7.306531,4.479607,0,-2.703063,1
SEN,1,0.1555556,0,6,7.402452,5.103883,0,-2.631089,1
SGP,0,0.0135556,0,9.318182,10.14643,2.873565,1,-0.5008753,1
SLE,1,0.0922222,0,5.818182,6.253829,6.180017,0,-2.748872,1
SLV,0,0.15,0,5,7.948032,4.35799,0,-1.851509,1
SOM,1,0.1111111,0,3,NA,NA,0,-3.015935,NA
STP,0,0.0111111,0,8.409091,NA,NA,0,NA,NA
SUR,0,0.0444444,0,4.681818,8.01,3.471345,0,-1.370421,NA
SVK,0,0.5377778,0,NA,8.852236,NA,0,NA,NA
SVN,0,0.5111111,0,NA,9.300181,NA,0,NA,NA
SWE,0,0.6888889,0,9.5,9.866304,NA,0,-0.239527,NA
SWZ,1,0.2922222,0,NA,8.10772,NA,0,-1.807889,NA
SYR,0,0.3888889,0,5.818182,8.029433,NA,1,-0.8255364,NA
TCD,1,0.1666667,0,NA,6.835185,5.634789,0,-3.442019,NA
TGO,1,0.0888889,0,6.909091,7.222566,6.504288,0,-3.218876,1
THA,0,0.1666667,0,7.636364,8.774931,4.941642,1,-1.851509,NA
TJK,0,0.4333333,0,NA,6.887553,NA,1,NA,NA
TKM,0,0.4444444,0,NA,7.640123,NA,1,NA,NA
TTO,0,0.1222222,0,7.454545,8.76873,4.442651,0,-0.6971552,1
TUN,1,0.3777778,0,6.454545,8.482602,4.143135,0,-1.527858,1
TUR,0,0.4333333,0,7.454545,8.641179,NA,1,-1.52326,NA
TWN,0,NA,0,9.227273,NA,NA,1,-0.809681,NA
TZA,1,0.0666667,0,6.636364,6.253829,5.634789,0,-3.442019,1
UGA,1,0.0111111,0,4.454545,6.966024,5.634789,0,-3.442019,1
UKR,0,0.5444444,0,NA,7.811974,NA,0,NA,NA
URY,0,0.3666667,0,7,9.031214,4.26268,0,-1.07881,1
USA,0,0.4222222,1,10,10.21574,2.70805,0,0,1
UZB,0,0.4555556,0,NA,7.807917,NA,1,NA,NA
VEN,0,0.0888889,0,7.136364,9.071078,4.35799,0,-0.7031975,1
VNM,0,0.1777778,0,6.409091,7.279319,4.941642,1,NA,1
YEM,0,0.1666667,0,6.363636,6.64639,NA,1,-1.551169,NA
YUG,0,0.4888889,0,6.318182,NA,NA,0,-1.203973,NA
ZAF,1,0.3222222,0,6.863636,8.885994,2.74084,0,-1.386294,1
ZAR,1,0,0,3.5,6.866933,5.480639,0,-3.411248,1
ZMB,1,0.1666667,0,6.636364,6.813445,NA,0,-2.97593,NA
ZWE,1,0.2222222,0,6,7.696213,NA,0,-2.733368,NA
